ID,URL,Title,Difficulty,Acceptance %,Frequency %
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,52.8%,62.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.0%,100.0%
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,52.1%,100.0%
1456,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,Maximum Number of Vowels in a Substring of Given Length,Medium,61.5%,62.5%
1194,https://leetcode.com/problems/tournament-winners,Tournament Winners,Hard,50.0%,62.5%
1014,https://leetcode.com/problems/best-sightseeing-pair,Best Sightseeing Pair,Medium,62.7%,62.5%
1604,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,Alert Using Same Key-Card Three or More Times in a One Hour Period,Medium,46.1%,62.5%
1189,https://leetcode.com/problems/maximum-number-of-balloons,Maximum Number of Balloons,Easy,60.0%,62.5%
1957,https://leetcode.com/problems/delete-characters-to-make-fancy-string,Delete Characters to Make Fancy String,Easy,74.1%,62.5%
2139,https://leetcode.com/problems/minimum-moves-to-reach-target-score,Minimum Moves to Reach Target Score,Medium,52.0%,75.0%
1405,https://leetcode.com/problems/longest-happy-string,Longest Happy String,Medium,65.5%,62.5%
1212,https://leetcode.com/problems/team-scores-in-football-tournament,Team Scores in Football Tournament,Medium,55.8%,62.5%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,68.1%,62.5%
1895,https://leetcode.com/problems/largest-magic-square,Largest Magic Square,Medium,75.3%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.2%,75.0%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,34.2%,75.0%
2950,https://leetcode.com/problems/number-of-divisible-substrings,Number of Divisible Substrings,Medium,74.1%,100.0%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.8%,62.5%
1204,https://leetcode.com/problems/last-person-to-fit-in-the-bus,Last Person to Fit in the Bus,Medium,68.9%,62.5%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.4%,62.5%
