ID,URL,Title,Difficulty,Acceptance %,Frequency %
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.8%,62.5%
1456,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,Maximum Number of Vowels in a Substring of Given Length,Medium,61.1%,50.0%
1014,https://leetcode.com/problems/best-sightseeing-pair,Best Sightseeing Pair,Medium,62.6%,87.5%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,52.1%,50.0%
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,72.3%,50.0%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,67.9%,87.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,35.6%,100.0%
1604,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,Alert Using Same Key-Card Three or More Times in a One Hour Period,Medium,46.0%,87.5%
1189,https://leetcode.com/problems/maximum-number-of-balloons,Maximum Number of Balloons,Easy,59.8%,87.5%
1957,https://leetcode.com/problems/delete-characters-to-make-fancy-string,Delete Characters to Make Fancy String,Easy,74.2%,87.5%
2139,https://leetcode.com/problems/minimum-moves-to-reach-target-score,Minimum Moves to Reach Target Score,Medium,51.9%,87.5%
1405,https://leetcode.com/problems/longest-happy-string,Longest Happy String,Medium,65.5%,87.5%
1895,https://leetcode.com/problems/largest-magic-square,Largest Magic Square,Medium,53.2%,87.5%
1194,https://leetcode.com/problems/tournament-winners,Tournament Winners,Hard,49.9%,87.5%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,58.7%,50.0%
1212,https://leetcode.com/problems/team-scores-in-football-tournament,Team Scores in Football Tournament,Medium,55.8%,87.5%
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,52.0%,87.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.7%,62.5%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,34.0%,62.5%
2950,https://leetcode.com/problems/number-of-divisible-substrings,Number of Divisible Substrings,Medium,74.0%,87.5%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.6%,50.0%
1204,https://leetcode.com/problems/last-person-to-fit-in-the-bus,Last Person to Fit in the Bus,Medium,68.8%,50.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.1%,50.0%
2380,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,Time Needed to Rearrange a Binary String,Medium,52.1%,50.0%
