ID,URL,Title,Difficulty,Acceptance %,Frequency %
2861,https://leetcode.com/problems/maximum-number-of-alloys,Maximum Number of Alloys,Medium,41.3%,100.0%
2514,https://leetcode.com/problems/count-anagrams,Count Anagrams,Hard,38.0%,87.5%
566,https://leetcode.com/problems/reshape-the-matrix,Reshape the Matrix,Easy,65.2%,100.0%
2038,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,Remove Colored Pieces if Both Neighbors are the Same Color,Medium,63.1%,87.5%
1163,https://leetcode.com/problems/last-substring-in-lexicographical-order,Last Substring in Lexicographical Order,Hard,35.1%,87.5%
1130,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,Minimum Cost Tree From Leaf Values,Medium,67.9%,87.5%
3049,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,Earliest Second to Mark Indices II,Hard,22.7%,87.5%
3048,https://leetcode.com/problems/earliest-second-to-mark-indices-i,Earliest Second to Mark Indices I,Medium,37.2%,87.5%
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,Maximum Palindromes After Operations,Medium,47.2%,100.0%
2851,https://leetcode.com/problems/string-transformation,String Transformation,Hard,27.5%,62.5%
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,Count Subarrays With Fixed Bounds,Hard,69.2%,87.5%
500,https://leetcode.com/problems/keyboard-row,Keyboard Row,Easy,74.1%,87.5%
2462,https://leetcode.com/problems/total-cost-to-hire-k-workers,Total Cost to Hire K Workers,Medium,43.8%,100.0%
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,51.6%,50.0%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,66.6%,62.5%
2582,https://leetcode.com/problems/pass-the-pillow,Pass the Pillow,Easy,56.6%,87.5%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,60.0%,75.0%
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,67.6%,62.5%
1290,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,Convert Binary Number in a Linked List to Integer,Easy,82.4%,50.0%
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,48.0%,87.5%
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,Sell Diminishing-Valued Colored Balls,Medium,30.3%,100.0%
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,52.6%,87.5%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,63.4%,75.0%
1335,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule,Minimum Difficulty of a Job Schedule,Hard,59.8%,50.0%
2559,https://leetcode.com/problems/count-vowel-strings-in-ranges,Count Vowel Strings in Ranges,Medium,67.9%,50.0%
2831,https://leetcode.com/problems/find-the-longest-equal-subarray,Find the Longest Equal Subarray,Medium,38.4%,50.0%
2697,https://leetcode.com/problems/lexicographically-smallest-palindrome,Lexicographically Smallest Palindrome,Easy,81.5%,50.0%
2918,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,Minimum Equal Sum of Two Arrays After Replacing Zeros,Medium,50.2%,75.0%
1220,https://leetcode.com/problems/count-vowels-permutation,Count Vowels Permutation,Hard,61.3%,50.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.5%,50.0%
3335,https://leetcode.com/problems/total-characters-in-string-after-transformations-i,Total Characters in String After Transformations I,Medium,45.6%,50.0%
