ID,URL,Title,Difficulty,Acceptance %,Frequency %
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,67.4%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,87.5%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.4%,50.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,62.5%
997,https://leetcode.com/problems/find-the-town-judge,Find the Town Judge,Easy,50.1%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,100.0%
1456,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,Maximum Number of Vowels in a Substring of Given Length,Medium,60.6%,50.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,62.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,62.5%
609,https://leetcode.com/problems/find-duplicate-file-in-system,Find Duplicate File in System,Medium,67.6%,50.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,51.2%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,50.0%
682,https://leetcode.com/problems/baseball-game,Baseball Game,Easy,79.0%,75.0%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,57.4%,50.0%
180,https://leetcode.com/problems/consecutive-numbers,Consecutive Numbers,Medium,46.2%,50.0%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,57.5%,50.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.4%,50.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,62.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,50.0%
468,https://leetcode.com/problems/validate-ip-address,Validate IP Address,Medium,27.8%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,50.0%
1498,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition,Number of Subsequences That Satisfy the Given Sum Condition,Medium,49.7%,50.0%
1668,https://leetcode.com/problems/maximum-repeating-substring,Maximum Repeating Substring,Easy,39.7%,50.0%
1013,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,Partition Array Into Three Parts With Equal Sum,Easy,42.1%,50.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.1%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,50.0%
438,https://leetcode.com/problems/find-all-anagrams-in-a-string,Find All Anagrams in a String,Medium,52.3%,50.0%
3138,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,Minimum Length of Anagram Concatenation,Medium,39.7%,62.5%
917,https://leetcode.com/problems/reverse-only-letters,Reverse Only Letters,Easy,67.0%,50.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,47.0%,50.0%
818,https://leetcode.com/problems/race-car,Race Car,Hard,44.2%,50.0%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,50.0%
3137,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,Minimum Number of Operations to Make Word K-Periodic,Medium,59.8%,50.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,50.0%
3153,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,Sum of Digit Differences of All Pairs,Medium,42.6%,50.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,50.0%
3091,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,Apply Operations to Make Sum of Array Greater Than or Equal to k,Medium,43.5%,62.5%
3122,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,Minimum Number of Operations to Satisfy Conditions,Medium,40.8%,50.0%
