ID,URL,Title,Difficulty,Acceptance %,Frequency %
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.5%,87.5%
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,81.0%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.8%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,75.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,55.2%,75.0%
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,61.0%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.1%,75.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,47.5%,62.5%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.7%,62.5%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,72.3%,62.5%
