ID,URL,Title,Difficulty,Acceptance %,Frequency %
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,50.0%
545,https://leetcode.com/problems/boundary-of-binary-tree,Boundary of Binary Tree,Medium,47.6%,37.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.7%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.0%,62.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,58.8%,100.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,67.4%,37.5%
2291,https://leetcode.com/problems/maximum-profit-from-trading-stocks,Maximum Profit From Trading Stocks,Medium,47.3%,50.0%
3004,https://leetcode.com/problems/maximum-subtree-of-the-same-color,Maximum Subtree of the Same Color,Medium,57.6%,62.5%
3068,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,Find the Maximum Sum of Node Values,Hard,69.6%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.3%,37.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.8%,37.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,37.5%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,71.1%,37.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.8%,37.5%
