ID,URL,Title,Difficulty,Acceptance %,Frequency %
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.5%,62.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.9%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.0%,62.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.9%,100.0%
2291,https://leetcode.com/problems/maximum-profit-from-trading-stocks,Maximum Profit From Trading Stocks,Medium,48.3%,50.0%
3004,https://leetcode.com/problems/maximum-subtree-of-the-same-color,Maximum Subtree of the Same Color,Medium,58.8%,75.0%
3068,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,Find the Maximum Sum of Node Values,Hard,69.4%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,37.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,38.2%,37.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.8%,37.5%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,72.3%,37.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.2%,37.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,71.2%,37.5%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.6%,37.5%
