ID,URL,Title,Difficulty,Acceptance %,Frequency %
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.7%,100.0%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.5%,87.5%
109,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,Medium,66.6%,75.0%
632,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Smallest Range Covering Elements from K Lists,Hard,70.1%,75.0%
126,https://leetcode.com/problems/word-ladder-ii,Word Ladder II,Hard,27.7%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,50.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.2%,62.5%
158,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Read N Characters Given read4 II - Call Multiple Times,Hard,43.3%,87.5%
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.4%,75.0%
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,45.9%,62.5%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.5%,37.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,37.5%
365,https://leetcode.com/problems/water-and-jug-problem,Water and Jug Problem,Medium,45.7%,50.0%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,60.0%,75.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,50.0%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,38.0%,62.5%
1620,https://leetcode.com/problems/coordinate-with-maximum-network-quality,Coordinate With Maximum Network Quality,Medium,39.6%,50.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.9%,50.0%
1298,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,Maximum Candies You Can Get from Boxes,Hard,67.5%,50.0%
958,https://leetcode.com/problems/check-completeness-of-a-binary-tree,Check Completeness of a Binary Tree,Medium,59.2%,75.0%
148,https://leetcode.com/problems/sort-list,Sort List,Medium,64.4%,50.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,66.1%,50.0%
2101,https://leetcode.com/problems/detonate-the-maximum-bombs,Detonate the Maximum Bombs,Medium,50.2%,37.5%
