ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,100.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,47.9%,50.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.2%,62.5%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.2%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,62.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.4%,62.5%
2356,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher,Number of Unique Subjects Taught by Each Teacher,Easy,89.2%,87.5%
3005,https://leetcode.com/problems/count-elements-with-maximum-frequency,Count Elements With Maximum Frequency,Easy,79.8%,75.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.1%,62.5%
1405,https://leetcode.com/problems/longest-happy-string,Longest Happy String,Medium,65.5%,50.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,45.9%,62.5%
626,https://leetcode.com/problems/exchange-seats,Exchange Seats,Medium,73.8%,62.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,67.8%,62.5%
3498,https://leetcode.com/problems/reverse-degree-of-a-string,Reverse Degree of a String,Easy,88.5%,87.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.5%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,62.5%
110,https://leetcode.com/problems/balanced-binary-tree,Balanced Binary Tree,Easy,57.8%,50.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.8%,50.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.3%,62.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.9%,50.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.9%,62.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.1%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,50.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.5%,50.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.5%,50.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.2%,62.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.2%,50.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.3%,50.0%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.1%,62.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.2%,62.5%
2677,https://leetcode.com/problems/chunk-array,Chunk Array,Easy,84.7%,50.0%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,49.5%,50.0%
1877,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,Minimize Maximum Pair Sum in Array,Medium,83.3%,50.0%
235,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,70.0%,50.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.5%,50.0%
