ID,URL,Title,Difficulty,Acceptance %,Frequency %
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,58.2%,100.0%
2007,https://leetcode.com/problems/find-original-array-from-doubled-array,Find Original Array From Doubled Array,Medium,40.5%,87.5%
843,https://leetcode.com/problems/guess-the-word,Guess the Word,Hard,37.6%,87.5%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,62.1%,87.5%
963,https://leetcode.com/problems/minimum-area-rectangle-ii,Minimum Area Rectangle II,Medium,55.7%,87.5%
2115,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,Find All Possible Recipes from Given Supplies,Medium,56.5%,87.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,87.5%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,41.4%,87.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,100.0%
1024,https://leetcode.com/problems/video-stitching,Video Stitching,Medium,52.0%,87.5%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,87.5%
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,55.0%,87.5%
