ID,URL,Title,Difficulty,Acceptance %,Frequency %
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,63.1%,75.0%
2896,https://leetcode.com/problems/apply-operations-to-make-two-strings-equal,Apply Operations to Make Two Strings Equal,Medium,27.7%,100.0%
502,https://leetcode.com/problems/ipo,IPO,Hard,53.5%,62.5%
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,68.4%,62.5%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,66.1%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,62.5%
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,73.9%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,75.0%
250,https://leetcode.com/problems/count-univalue-subtrees,Count Univalue Subtrees,Medium,57.5%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.4%,62.5%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.5%,75.0%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,60.4%,87.5%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,36.9%,62.5%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,58.8%,62.5%
132,https://leetcode.com/problems/palindrome-partitioning-ii,Palindrome Partitioning II,Hard,37.1%,75.0%
475,https://leetcode.com/problems/heaters,Heaters,Medium,41.9%,62.5%
546,https://leetcode.com/problems/remove-boxes,Remove Boxes,Hard,49.4%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.3%,62.5%
2115,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,Find All Possible Recipes from Given Supplies,Medium,56.9%,62.5%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.8%,62.5%
2616,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs,Minimize the Maximum Difference of Pairs,Medium,51.0%,62.5%
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,47.9%,62.5%
698,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Partition to K Equal Sum Subsets,Medium,38.6%,62.5%
375,https://leetcode.com/problems/guess-number-higher-or-lower-ii,Guess Number Higher or Lower II,Medium,52.8%,62.5%
2381,https://leetcode.com/problems/shifting-letters-ii,Shifting Letters II,Medium,53.7%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,62.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.6%,62.5%
979,https://leetcode.com/problems/distribute-coins-in-binary-tree,Distribute Coins in Binary Tree,Medium,77.3%,62.5%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.5%,62.5%
3607,https://leetcode.com/problems/power-grid-maintenance,Power Grid Maintenance,Medium,56.2%,62.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.2%,62.5%
