ID,URL,Title,Difficulty,Acceptance %,Frequency %
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,49.4%,62.5%
631,https://leetcode.com/problems/design-excel-sum-formula,Design Excel Sum Formula,Hard,40.4%,75.0%
1242,https://leetcode.com/problems/web-crawler-multithreaded,Web Crawler Multithreaded,Medium,50.6%,62.5%
2408,https://leetcode.com/problems/design-sql,Design SQL,Medium,66.0%,100.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.6%,75.0%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,67.4%,50.0%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.5%,87.5%
271,https://leetcode.com/problems/encode-and-decode-strings,Encode and Decode Strings,Medium,50.7%,87.5%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,49.3%,75.0%
2373,https://leetcode.com/problems/largest-local-values-in-a-matrix,Largest Local Values in a Matrix,Easy,87.8%,50.0%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,46.4%,50.0%
751,https://leetcode.com/problems/ip-to-cidr,IP to CIDR,Medium,53.4%,62.5%
1236,https://leetcode.com/problems/web-crawler,Web Crawler,Medium,68.8%,50.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,50.0%
