ID,URL,Title,Difficulty,Acceptance %,Frequency %
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,100.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,75.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,87.5%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.0%,75.0%
475,https://leetcode.com/problems/heaters,Heaters,Medium,41.9%,75.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.3%,75.0%
1482,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Minimum Number of Days to Make m Bouquets,Medium,56.6%,75.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.9%,75.0%
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,72.6%,87.5%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,50.0%,75.0%
