ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,100.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.5%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,87.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,87.5%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.2%,50.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.9%,62.5%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,21.0%,50.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.6%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.0%,75.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.6%,75.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.6%,75.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.6%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.1%,75.0%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.6%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.2%,87.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.3%,75.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.7%,62.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.6%,50.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.8%,62.5%
27,https://leetcode.com/problems/remove-element,Remove Element,Easy,61.8%,62.5%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.7%,50.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.3%,62.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.9%,62.5%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.9%,37.5%
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,51.3%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,75.0%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,32.0%,25.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,75.0%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.7%,50.0%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,80.1%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.3%,62.5%
