ID,URL,Title,Difficulty,Acceptance %,Frequency %
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.6%,100.0%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,64.2%,75.0%
1258,https://leetcode.com/problems/synonymous-sentences,Synonymous Sentences,Medium,57.3%,62.5%
631,https://leetcode.com/problems/design-excel-sum-formula,Design Excel Sum Formula,Hard,39.7%,87.5%
1046,https://leetcode.com/problems/last-stone-weight,Last Stone Weight,Easy,66.5%,50.0%
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,50.5%,62.5%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,73.1%,62.5%
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,61.3%,62.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.2%,50.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.3%,62.5%
3484,https://leetcode.com/problems/design-spreadsheet,Design Spreadsheet,Medium,74.1%,75.0%
3387,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,Maximize Amount After Two Days of Conversions,Medium,61.4%,62.5%
2939,https://leetcode.com/problems/maximum-xor-product,Maximum Xor Product,Medium,29.9%,62.5%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,51.0%,50.0%
1396,https://leetcode.com/problems/design-underground-system,Design Underground System,Medium,74.5%,50.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.6%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.4%,50.0%
737,https://leetcode.com/problems/sentence-similarity-ii,Sentence Similarity II,Medium,51.3%,50.0%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,60.2%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,50.0%
2296,https://leetcode.com/problems/design-a-text-editor,Design a Text Editor,Hard,50.7%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,50.0%
