ID,URL,Title,Difficulty,Acceptance %,Frequency %
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,75.0%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.7%,62.5%
1296,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers,Divide Array in Sets of K Consecutive Numbers,Medium,59.3%,62.5%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,44.9%,75.0%
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,30.7%,100.0%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,42.0%,75.0%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,47.0%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,75.0%
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,55.4%,62.5%
631,https://leetcode.com/problems/design-excel-sum-formula,Design Excel Sum Formula,Hard,39.7%,75.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,51.2%,62.5%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.9%,62.5%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,62.5%
