ID,URL,Title,Difficulty,Acceptance %,Frequency %
3070,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k,Count Submatrices with Top-Left Element and Sum Less Than k,Medium,74.9%,50.0%
2961,https://leetcode.com/problems/double-modular-exponentiation,Double Modular Exponentiation,Medium,48.3%,62.5%
2833,https://leetcode.com/problems/furthest-point-from-origin,Furthest Point From Origin,Easy,77.1%,62.5%
3080,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,Mark Elements on Array by Performing Queries,Medium,49.6%,50.0%
386,https://leetcode.com/problems/lexicographical-numbers,Lexicographical Numbers,Medium,76.3%,50.0%
3474,https://leetcode.com/problems/lexicographically-smallest-generated-string,Lexicographically Smallest Generated String,Hard,53.5%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,50.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,47.5%,50.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.9%,50.0%
496,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,Easy,76.5%,50.0%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,57.0%,50.0%
1482,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Minimum Number of Days to Make m Bouquets,Medium,56.8%,50.0%
