ID,URL,Title,Difficulty,Acceptance %,Frequency %
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.7%,75.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.4%,87.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.5%,87.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,100.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.6%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,87.5%
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,67.7%,87.5%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,63.1%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.0%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,75.0%
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,69.7%,87.5%
1487,https://leetcode.com/problems/making-file-names-unique,Making File Names Unique,Medium,38.7%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,75.0%
304,https://leetcode.com/problems/range-sum-query-2d-immutable,Range Sum Query 2D - Immutable,Medium,58.3%,75.0%
1190,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Reverse Substrings Between Each Pair of Parentheses,Medium,72.0%,75.0%
126,https://leetcode.com/problems/word-ladder-ii,Word Ladder II,Hard,27.7%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,75.0%
