ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,75.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,52.1%,62.5%
1647,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,Minimum Deletions to Make Character Frequencies Unique,Medium,61.4%,75.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.0%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.2%,62.5%
1224,https://leetcode.com/problems/maximum-equal-frequency,Maximum Equal Frequency,Hard,37.8%,75.0%
2202,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,Maximize the Topmost Element After K Moves,Medium,23.8%,62.5%
2317,https://leetcode.com/problems/maximum-xor-after-operations,Maximum XOR After Operations,Medium,79.7%,62.5%
1521,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,Find a Value of a Mysterious Function Closest to Target,Hard,46.6%,62.5%
1775,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,Equal Sum Arrays With Minimum Number of Operations,Medium,54.4%,62.5%
1201,https://leetcode.com/problems/ugly-number-iii,Ugly Number III,Medium,30.9%,62.5%
3013,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,Divide an Array Into Subarrays With Minimum Cost II,Hard,31.2%,62.5%
2278,https://leetcode.com/problems/percentage-of-letter-in-string,Percentage of Letter in String,Easy,74.8%,62.5%
3010,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,Divide an Array Into Subarrays With Minimum Cost I,Easy,66.5%,62.5%
2997,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,Minimum Number of Operations to Make Array XOR Equal to K,Medium,85.4%,100.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,67.4%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.0%,75.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.0%,75.0%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.3%,62.5%
