ID,URL,Title,Difficulty,Acceptance %,Frequency %
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,60.7%,100.0%
2895,https://leetcode.com/problems/minimum-processing-time,Minimum Processing Time,Medium,69.3%,75.0%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,66.7%,75.0%
2204,https://leetcode.com/problems/distance-to-a-cycle-in-undirected-graph,Distance to a Cycle in Undirected Graph,Hard,72.9%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
1370,https://leetcode.com/problems/increasing-decreasing-string,Increasing Decreasing String,Easy,76.9%,75.0%
1177,https://leetcode.com/problems/can-make-palindrome-from-substring,Can Make Palindrome from Substring,Medium,40.3%,75.0%
1319,https://leetcode.com/problems/number-of-operations-to-make-network-connected,Number of Operations to Make Network Connected,Medium,65.0%,75.0%
740,https://leetcode.com/problems/delete-and-earn,Delete and Earn,Medium,56.8%,75.0%
677,https://leetcode.com/problems/map-sum-pairs,Map Sum Pairs,Medium,56.8%,75.0%
1425,https://leetcode.com/problems/constrained-subsequence-sum,Constrained Subsequence Sum,Hard,56.4%,75.0%
741,https://leetcode.com/problems/cherry-pickup,Cherry Pickup,Hard,38.0%,75.0%
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,57.8%,75.0%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,50.7%,75.0%
1649,https://leetcode.com/problems/create-sorted-array-through-instructions,Create Sorted Array through Instructions,Hard,40.2%,75.0%
1665,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,Minimum Initial Energy to Finish Tasks,Hard,59.4%,75.0%
1338,https://leetcode.com/problems/reduce-array-size-to-the-half,Reduce Array Size to The Half,Medium,69.1%,75.0%
1819,https://leetcode.com/problems/number-of-different-subsequences-gcds,Number of Different Subsequences GCDs,Hard,42.2%,75.0%
1223,https://leetcode.com/problems/dice-roll-simulation,Dice Roll Simulation,Hard,50.1%,75.0%
2497,https://leetcode.com/problems/maximum-star-sum-of-a-graph,Maximum Star Sum of a Graph,Medium,41.1%,75.0%
1636,https://leetcode.com/problems/sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,Easy,80.3%,75.0%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.4%,75.0%
