ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,100.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,75.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,87.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,87.5%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,63.3%,62.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,62.5%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,48.1%,62.5%
105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,Medium,67.0%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,53.6%,62.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,45.9%,75.0%
1189,https://leetcode.com/problems/maximum-number-of-balloons,Maximum Number of Balloons,Easy,59.8%,62.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,62.9%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,87.5%
2325,https://leetcode.com/problems/decode-the-message,Decode the Message,Easy,85.5%,62.5%
1275,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,Find Winner on a Tic Tac Toe Game,Easy,54.2%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,45.6%,75.0%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,56.3%,62.5%
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,52.8%,62.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.4%,62.5%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,52.8%,62.5%
695,https://leetcode.com/problems/max-area-of-island,Max Area of Island,Medium,73.2%,62.5%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,62.5%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.3%,62.5%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,57.8%,62.5%
1758,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,Minimum Changes To Make Alternating Binary String,Easy,63.7%,62.5%
1729,https://leetcode.com/problems/find-followers-count,Find Followers Count,Easy,69.5%,62.5%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,48.4%,62.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.8%,62.5%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,70.3%,62.5%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,45.7%,62.5%
976,https://leetcode.com/problems/largest-perimeter-triangle,Largest Perimeter Triangle,Easy,57.5%,62.5%
1117,https://leetcode.com/problems/building-h2o,Building H2O,Medium,57.7%,62.5%
160,https://leetcode.com/problems/intersection-of-two-linked-lists,Intersection of Two Linked Lists,Easy,61.4%,62.5%
