ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.4%,50.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,66.4%,75.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.5%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.0%,87.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.6%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,87.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,47.0%,87.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.8%,62.5%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.8%,50.0%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,57.3%,87.5%
1729,https://leetcode.com/problems/find-followers-count,Find Followers Count,Easy,69.6%,87.5%
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,55.0%,87.5%
1758,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,Minimum Changes To Make Alternating Binary String,Easy,67.8%,87.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.3%,50.0%
1117,https://leetcode.com/problems/building-h2o,Building H2O,Medium,58.4%,87.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,52.3%,100.0%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,43.2%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.7%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.5%,62.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.2%,50.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.8%,50.0%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,80.4%,50.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.8%,75.0%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,58.2%,50.0%
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,59.6%,62.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.9%,50.0%
393,https://leetcode.com/problems/utf-8-validation,UTF-8 Validation,Medium,46.4%,62.5%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,64.4%,62.5%
1603,https://leetcode.com/problems/design-parking-system,Design Parking System,Easy,87.2%,50.0%
126,https://leetcode.com/problems/word-ladder-ii,Word Ladder II,Hard,27.8%,50.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,46.0%,62.5%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,50.4%,50.0%
223,https://leetcode.com/problems/rectangle-area,Rectangle Area,Medium,49.8%,75.0%
2115,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,Find All Possible Recipes from Given Supplies,Medium,57.0%,50.0%
909,https://leetcode.com/problems/snakes-and-ladders,Snakes and Ladders,Medium,48.2%,62.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,47.0%,50.0%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.2%,50.0%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.8%,50.0%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.9%,50.0%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,47.0%,50.0%
