ID,URL,Title,Difficulty,Acceptance %,Frequency %
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.8%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,75.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,53.9%,75.0%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,100.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.0%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.8%,62.5%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.0%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.2%,62.5%
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard,47.1%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.8%,75.0%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,67.8%,62.5%
1605,https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums,Find Valid Matrix Given Row and Column Sums,Medium,82.7%,62.5%
2771,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,Longest Non-decreasing Subarray From Two Arrays,Medium,31.0%,75.0%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,46.5%,75.0%
2939,https://leetcode.com/problems/maximum-xor-product,Maximum Xor Product,Medium,29.5%,87.5%
2466,https://leetcode.com/problems/count-ways-to-build-good-strings,Count Ways To Build Good Strings,Medium,59.0%,75.0%
3649,https://leetcode.com/problems/number-of-perfect-pairs,Number of Perfect Pairs,Medium,33.3%,75.0%
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,Maximum Palindromes After Operations,Medium,45.6%,75.0%
1669,https://leetcode.com/problems/merge-in-between-linked-lists,Merge In Between Linked Lists,Medium,82.8%,75.0%
2918,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,Minimum Equal Sum of Two Arrays After Replacing Zeros,Medium,50.2%,62.5%
765,https://leetcode.com/problems/couples-holding-hands,Couples Holding Hands,Hard,59.2%,62.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.9%,62.5%
1824,https://leetcode.com/problems/minimum-sideway-jumps,Minimum Sideway Jumps,Medium,51.5%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,62.5%
