ID,URL,Title,Difficulty,Acceptance %,Frequency %
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.9%,75.0%
2615,https://leetcode.com/problems/sum-of-distances,Sum of Distances,Medium,50.3%,75.0%
3012,https://leetcode.com/problems/minimize-length-of-array-using-operations,Minimize Length of Array Using Operations,Medium,36.1%,75.0%
2876,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,Count Visited Nodes in a Directed Graph,Hard,31.1%,75.0%
1465,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,41.5%,75.0%
3251,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,Find the Count of Monotonic Pairs II,Hard,24.9%,75.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,75.0%
853,https://leetcode.com/problems/car-fleet,Car Fleet,Medium,55.4%,87.5%
2044,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets,Count Number of Maximum Bitwise-OR Subsets,Medium,89.5%,75.0%
924,https://leetcode.com/problems/minimize-malware-spread,Minimize Malware Spread,Hard,43.3%,100.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.1%,75.0%
898,https://leetcode.com/problems/bitwise-ors-of-subarrays,Bitwise ORs of Subarrays,Medium,56.9%,87.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,55.2%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,69.1%,87.5%
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,73.0%,75.0%
3878,https://leetcode.com/problems/count-good-subarrays,Count Good Subarrays,Hard,25.5%,75.0%
