ID,URL,Title,Difficulty,Acceptance %,Frequency %
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,62.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,87.5%
680,https://leetcode.com/problems/valid-palindrome-ii,Valid Palindrome II,Easy,44.3%,100.0%
1047,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,Remove All Adjacent Duplicates In String,Easy,73.2%,87.5%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,57.3%,62.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.4%,62.5%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.8%,75.0%
1152,https://leetcode.com/problems/analyze-user-website-visit-pattern,Analyze User Website Visit Pattern,Medium,44.3%,75.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.3%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,62.5%
935,https://leetcode.com/problems/knight-dialer,Knight Dialer,Medium,61.9%,87.5%
973,https://leetcode.com/problems/k-closest-points-to-origin,K Closest Points to Origin,Medium,69.0%,62.5%
278,https://leetcode.com/problems/first-bad-version,First Bad Version,Easy,47.1%,62.5%
