ID,URL,Title,Difficulty,Acceptance %,Frequency %
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,68.1%,87.5%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,34.4%,87.5%
2296,https://leetcode.com/problems/design-a-text-editor,Design a Text Editor,Hard,47.3%,100.0%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,59.6%,87.5%
2069,https://leetcode.com/problems/walking-robot-simulation-ii,Walking Robot Simulation II,Medium,25.1%,87.5%
1814,https://leetcode.com/problems/count-nice-pairs-in-an-array,Count Nice Pairs in an Array,Medium,48.5%,87.5%
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,38.9%,87.5%
139,https://leetcode.com/problems/word-break,Word Break,Medium,48.4%,87.5%
969,https://leetcode.com/problems/pancake-sorting,Pancake Sorting,Medium,71.3%,87.5%
999,https://leetcode.com/problems/available-captures-for-rook,Available Captures for Rook,Easy,70.4%,87.5%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.1%,87.5%
699,https://leetcode.com/problems/falling-squares,Falling Squares,Hard,46.4%,87.5%
573,https://leetcode.com/problems/squirrel-simulation,Squirrel Simulation,Medium,57.3%,87.5%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.4%,87.5%
