ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.8%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,75.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.2%,50.0%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,37.4%,50.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.7%,75.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,70.3%,50.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,44.2%,87.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.3%,87.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,54.5%,50.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.8%,50.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.6%,50.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.2%,75.0%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.0%,75.0%
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,49.0%,100.0%
572,https://leetcode.com/problems/subtree-of-another-tree,Subtree of Another Tree,Easy,50.8%,100.0%
2544,https://leetcode.com/problems/alternating-digit-sum,Alternating Digit Sum,Easy,68.8%,100.0%
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,61.5%,50.0%
727,https://leetcode.com/problems/minimum-window-subsequence,Minimum Window Subsequence,Hard,43.7%,100.0%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,56.6%,50.0%
868,https://leetcode.com/problems/binary-gap,Binary Gap,Easy,65.3%,100.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.4%,50.0%
1206,https://leetcode.com/problems/design-skiplist,Design Skiplist,Hard,58.7%,100.0%
1366,https://leetcode.com/problems/rank-teams-by-votes,Rank Teams by Votes,Medium,59.9%,50.0%
1381,https://leetcode.com/problems/design-a-stack-with-increment-operation,Design a Stack With Increment Operation,Medium,80.0%,62.5%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.1%,62.5%
1877,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,Minimize Maximum Pair Sum in Array,Medium,81.6%,100.0%
1909,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Remove One Element to Make the Array Strictly Increasing,Easy,29.2%,100.0%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,34.7%,50.0%
472,https://leetcode.com/problems/concatenated-words,Concatenated Words,Hard,49.6%,62.5%
680,https://leetcode.com/problems/valid-palindrome-ii,Valid Palindrome II,Easy,43.7%,50.0%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,61.0%,87.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.3%,75.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,55.4%,87.5%
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,47.5%,50.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,77.9%,50.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,46.5%,50.0%
473,https://leetcode.com/problems/matchsticks-to-square,Matchsticks to Square,Medium,41.4%,75.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,57.6%,62.5%
1926,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,Nearest Exit from Entrance in Maze,Medium,48.0%,50.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.6%,75.0%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,37.9%,75.0%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,61.9%,75.0%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.7%,62.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,68.6%,50.0%
581,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,Shortest Unsorted Continuous Subarray,Medium,37.8%,50.0%
2136,https://leetcode.com/problems/earliest-possible-day-of-full-bloom,Earliest Possible Day of Full Bloom,Hard,71.2%,50.0%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,46.4%,50.0%
905,https://leetcode.com/problems/sort-array-by-parity,Sort Array By Parity,Easy,76.4%,50.0%
97,https://leetcode.com/problems/interleaving-string,Interleaving String,Medium,43.0%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,50.5%,50.0%
459,https://leetcode.com/problems/repeated-substring-pattern,Repeated Substring Pattern,Easy,47.4%,50.0%
286,https://leetcode.com/problems/walls-and-gates,Walls and Gates,Medium,63.4%,50.0%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,59.8%,50.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,65.2%,50.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,49.6%,50.0%
