ID,URL,Title,Difficulty,Acceptance %,Frequency %
1381,https://leetcode.com/problems/design-a-stack-with-increment-operation,Design a Stack With Increment Operation,Medium,79.9%,100.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,75.0%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,63.0%,100.0%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.3%,75.0%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.7%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,75.0%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.6%,75.0%
130,https://leetcode.com/problems/surrounded-regions,Surrounded Regions,Medium,45.3%,75.0%
2116,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,Check if a Parentheses String Can Be Valid,Medium,45.2%,75.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.5%,75.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.6%,75.0%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.5%,75.0%
305,https://leetcode.com/problems/number-of-islands-ii,Number of Islands II,Hard,40.6%,75.0%
