ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.2%,75.0%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.4%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,62.5%
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,78.1%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.7%,100.0%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,67.3%,75.0%
2006,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,Count Number of Pairs With Absolute Difference K,Easy,85.3%,62.5%
1481,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,Least Number of Unique Integers after K Removals,Medium,63.7%,62.5%
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,65.4%,75.0%
611,https://leetcode.com/problems/valid-triangle-number,Valid Triangle Number,Medium,56.7%,75.0%
1611,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,Minimum One Bit Operations to Make Integers Zero,Hard,78.4%,62.5%
3136,https://leetcode.com/problems/valid-word,Valid Word,Easy,50.9%,62.5%
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,51.6%,62.5%
2533,https://leetcode.com/problems/number-of-good-binary-strings,Number of Good Binary Strings,Medium,52.7%,62.5%
1492,https://leetcode.com/problems/the-kth-factor-of-n,The kth Factor of n,Medium,70.2%,75.0%
1560,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,Most Visited Sector in a Circular Track,Easy,59.8%,62.5%
2366,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,Minimum Replacements to Sort the Array,Hard,53.2%,62.5%
1151,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,Minimum Swaps to Group All 1's Together,Medium,61.2%,62.5%
2491,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,Divide Players Into Teams of Equal Skill,Medium,68.9%,62.5%
1451,https://leetcode.com/problems/rearrange-words-in-a-sentence,Rearrange Words in a Sentence,Medium,66.9%,62.5%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.5%,62.5%
1101,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,65.9%,62.5%
2168,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,Unique Substrings With Equal Digit Frequency,Medium,64.5%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.8%,62.5%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,72.3%,87.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.1%,62.5%
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,52.8%,100.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.2%,75.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.2%,62.5%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,58.2%,62.5%
3168,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room,Minimum Number of Chairs in a Waiting Room,Easy,79.2%,75.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.9%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.5%,62.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.2%,62.5%
2062,https://leetcode.com/problems/count-vowel-substrings-of-a-string,Count Vowel Substrings of a String,Easy,72.8%,62.5%
926,https://leetcode.com/problems/flip-string-to-monotone-increasing,Flip String to Monotone Increasing,Medium,61.8%,62.5%
