ID,URL,Title,Difficulty,Acceptance %,Frequency %
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.5%,50.0%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,55.6%,62.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.7%,75.0%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,61.3%,87.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,100.0%
187,https://leetcode.com/problems/repeated-dna-sequences,Repeated DNA Sequences,Medium,53.3%,75.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.1%,87.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,50.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.4%,62.5%
1047,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,Remove All Adjacent Duplicates In String,Easy,73.2%,100.0%
966,https://leetcode.com/problems/vowel-spellchecker,Vowel Spellchecker,Medium,61.4%,87.5%
507,https://leetcode.com/problems/perfect-number,Perfect Number,Easy,48.9%,75.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.4%,87.5%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,75.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.9%,87.5%
404,https://leetcode.com/problems/sum-of-left-leaves,Sum of Left Leaves,Easy,62.7%,75.0%
761,https://leetcode.com/problems/special-binary-string,Special Binary String,Hard,79.3%,50.0%
2075,https://leetcode.com/problems/decode-the-slanted-ciphertext,Decode the Slanted Ciphertext,Medium,67.6%,50.0%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,57.8%,62.5%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.5%,50.0%
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,Maximum Palindromes After Operations,Medium,46.5%,50.0%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,41.8%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,50.0%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.8%,50.0%
1461,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k,Check If a String Contains All Binary Codes of Size K,Medium,61.6%,50.0%
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,51.3%,62.5%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,57.1%,50.0%
2054,https://leetcode.com/problems/two-best-non-overlapping-events,Two Best Non-Overlapping Events,Medium,64.0%,50.0%
