ID,URL,Title,Difficulty,Acceptance %,Frequency %
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,47.8%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,100.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.9%,87.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.4%,87.5%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,36.9%,87.5%
437,https://leetcode.com/problems/path-sum-iii,Path Sum III,Medium,46.2%,87.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.2%,100.0%
423,https://leetcode.com/problems/reconstruct-original-digits-from-english,Reconstruct Original Digits from English,Medium,52.1%,87.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.7%,87.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.2%,87.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,55.4%,87.5%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,37.2%,87.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,87.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.0%,87.5%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,75.6%,87.5%
