ID,URL,Title,Difficulty,Acceptance %,Frequency %
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,63.1%,100.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.6%,75.0%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,65.3%,75.0%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,67.3%,75.0%
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,61.4%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.7%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,75.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,57.7%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,75.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,70.7%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,87.5%
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,67.9%,75.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.5%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.2%,75.0%
