ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,87.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.2%,87.5%
896,https://leetcode.com/problems/monotonic-array,Monotonic Array,Easy,62.3%,100.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,87.5%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.8%,87.5%
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,60.5%,87.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,75.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.6%,87.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.1%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,75.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.2%,75.0%
