ID,URL,Title,Difficulty,Acceptance %,Frequency %
2060,https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings,Check if an Original String Exists Given Two Encoded Strings,Hard,43.4%,75.0%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,48.0%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,87.5%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.3%,87.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,75.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.4%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,87.5%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.3%,75.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.3%,75.0%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.9%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,75.0%
