ID,URL,Title,Difficulty,Acceptance %,Frequency %
2499,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal,Minimum Total Cost to Make Arrays Unequal,Hard,41.3%,100.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,75.0%
2054,https://leetcode.com/problems/two-best-non-overlapping-events,Two Best Non-Overlapping Events,Medium,64.0%,100.0%
2070,https://leetcode.com/problems/most-beautiful-item-for-each-query,Most Beautiful Item for Each Query,Medium,62.1%,100.0%
171,https://leetcode.com/problems/excel-sheet-column-number,Excel Sheet Column Number,Easy,67.8%,62.5%
1574,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,Shortest Subarray to be Removed to Make Array Sorted,Medium,51.3%,87.5%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.6%,87.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.0%,62.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.9%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,87.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.5%,62.5%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.8%,62.5%
